candidate_id	name	slug	official_url	domain	candidate_scope	category	chain_scope	priority	status	status_guess	checked_against	duplicate_result	needs_full_data_file_scan	batch	marketplace_id	event_id	evidence_ids	consumed_at	notes
mag_candidate_000221	AtomicHub WAX	atomichub-wax	https://wax.atomichub.io/	wax.atomichub.io	standalone_marketplace	chain_specific	wax	P1	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000222	AtomicHub Proton	atomichub-proton	https://proton.atomichub.io/	proton.atomichub.io	standalone_marketplace	chain_specific	proton	P2	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000223	AtomicAssets Marketplace	atomicassets-marketplace	https://atomicassets.io/	atomicassets.io	protocol_marketplace	chain_specific	wax	P2	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000224	NeftyBlocks	neftyblocks	https://neftyblocks.com/	neftyblocks.com	standalone_marketplace	chain_specific	wax	P2	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000225	NFTHive	nfthive	https://nfthive.io/	nfthive.io	standalone_marketplace	chain_specific	wax	P2	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000226	WAXStash	waxstash	https://waxstash.com/	waxstash.com	standalone_marketplace	chain_specific	wax	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000227	Collectables.io	collectables-io	https://collectables.io/	collectables.io	standalone_marketplace	chain_specific	wax	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000228	SimpleMarket	simplemarket	https://simplemarket.io/	simplemarket.io	standalone_marketplace	chain_specific	eos	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000229	EOS NFT Marketplace	eos-nft-marketplace	https://eos.atomichub.io/	eos.atomichub.io	standalone_marketplace	chain_specific	eos	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000230	Ultra Market	ultra-market	https://ultra.io/	ultra.io	brand_marketplace	gaming	ultra	P2	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000231	Enjin Marketplace	enjin-marketplace	https://nft.io/	nft.io	standalone_marketplace	gaming	enjin	P2	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000232	Efinity Market	efinity-market	https://efinity.io/	efinity.io	standalone_marketplace	chain_specific	efinity	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000233	Jump.trade	jump-trade	https://www.jump.trade/	jump.trade	standalone_marketplace	sports	polygon	P2	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000234	Rario Marketplace	rario-marketplace	https://www.rario.com/	rario.com	brand_marketplace	sports	polygon	P2	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000235	FanCraze Cricket Cards	fancraze-cricket-cards	https://www.fancraze.com/	fancraze.com	brand_marketplace	sports	polygon	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000236	CollectID Marketplace	collectid-marketplace	https://collectid.io/	collectid.io	brand_marketplace	collectibles	polygon	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000237	Sweet NFT Marketplace	sweet-nft-marketplace	https://sweet.io/	sweet.io	brand_marketplace	collectibles	polygon	P2	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000238	Niftys	niftys	https://niftys.com/	niftys.com	brand_marketplace	collectibles	polygon	P2	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000239	Palm NFT Studio Marketplace	palm-nft-studio-marketplace	https://palm.io/	palm.io	infrastructure_marketplace	brand_platform	palm	P2	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000240	Palm NFT Marketplace	palm-nft-marketplace	https://palm.io/	palm.io	standalone_marketplace	collectibles	palm	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000241	VeVe Web App Market	veve-web-app-market	https://www.veve.me/	veve.me	brand_marketplace	collectibles	immutable_x	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000242	Immutable Marketplace	immutable-marketplace	https://market.immutable.com/	market.immutable.com	standalone_marketplace	chain_specific	immutable_x	P1	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000243	Immutable zkEVM Marketplace	immutable-zkevm-marketplace	https://market.immutable.com/	market.immutable.com	standalone_marketplace	chain_specific	immutable_zkevm	P2	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000244	Sphere Marketplace	sphere-marketplace	https://sphere.market/	sphere.market	standalone_marketplace	chain_specific	immutable_x	P2	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000245	TokenTrove Immutable	tokentrove-immutable	https://tokentrove.com/	tokentrove.com	standalone_marketplace	chain_specific	immutable_x	P2	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000246	IMX Tools Market	imx-tools-market	https://imxtools.net/	imxtools.net	aggregator	chain_specific	immutable_x	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000247	Myria NFT Marketplace	myria-nft-marketplace	https://myria.com/	myria.com	brand_marketplace	gaming	myria	P2	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000248	Build on Beam Market	beam-market	https://beamable.network/	beamable.network	brand_marketplace	gaming	beam	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000249	Merit Circle Sphere	merit-circle-sphere	https://sphere.market/	sphere.market	standalone_marketplace	gaming	beam	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000250	Sequence Builder Market	sequence-builder-market	https://sequence.xyz/	sequence.xyz	infrastructure_marketplace	gaming	multi_chain	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000251	Arcade Land Market	arcade-land-market	https://arcadeland.io/	arcadeland.io	brand_marketplace	metaverse	ethereum	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000252	Otherside Market	otherside-market	https://otherside.xyz/	otherside.xyz	brand_marketplace	metaverse	ethereum	P2	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000253	BAYC ApeCoin Marketplace	bayc-apecoin-marketplace	https://apecoin.com/	apecoin.com	brand_marketplace	collectibles	ethereum	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000254	ApeChain Marketplace	apechain-marketplace	https://apechain.com/	apechain.com	chain_specific	collectibles	apechain	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000255	Magic Eden ApeChain	magic-eden-apechain	https://magiceden.io/	magiceden.io	chain_specific	collectibles	apechain	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
