candidate_id	name	slug	official_url	domain	candidate_scope	category	chain_scope	priority	status	status_guess	checked_against	duplicate_result	needs_full_data_file_scan	batch	marketplace_id	event_id	evidence_ids	consumed_at	notes
mag_candidate_000421	LINE NFT	line-nft	https://nft.line.me/	nft.line.me	standalone_marketplace	collectibles	line_blockchain	P1	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000422	DOSI Marketplace	dosi-marketplace	https://dosi.world/	dosi.world	standalone_marketplace	collectibles	line_blockchain	P1	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000423	Rakuten NFT	rakuten-nft	https://nft.rakuten.co.jp/	nft.rakuten.co.jp	brand_marketplace	collectibles	private_chain	P1	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000424	Coincheck NFT	coincheck-nft	https://nft.coincheck.com/	nft.coincheck.com	cex_feature	cex_nft_market	ethereum,polygon	P1	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000425	Adam byGMO	adam-bygmo	https://adam.jp/	adam.jp	standalone_marketplace	collectibles	ethereum	P1	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000426	HEXA NFT	hexa-nft	https://nft.hexanft.com/	nft.hexanft.com	standalone_marketplace	collectibles	polygon	P2	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000427	SBINFT Market	sbinft-market	https://sbinft.market/	sbinft.market	standalone_marketplace	collectibles	ethereum,polygon	P1	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000428	nanakusa	nanakusa	https://nanakusa.io/	nanakusa.io	standalone_marketplace	art_curated	ethereum,polygon	P2	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000429	miime	miime	https://miime.io/	miime.io	standalone_marketplace	gaming	ethereum	P2	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000430	NFT Studio	nft-studio-jp	https://nft-studio.com/	nft-studio.com	creator_marketplace	creator_tools	ethereum	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000431	Fanpla Owner	fanpla-owner	https://owner.fanpla.jp/	owner.fanpla.jp	brand_marketplace	music_media	polygon	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000432	HARTi NFT	harti-nft	https://harti.tokyo/	harti.tokyo	art_curated	art_curated	ethereum	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000433	Zaif NFT Marketplace	zaif-nft-marketplace	https://zaif.jp/	zaif.jp	cex_feature	cex_nft_market	multi_chain	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000434	NFTDrive	nftdrive	https://nftdrive.io/	nftdrive.io	standalone_marketplace	chain_specific	cardano	P2	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000435	Astar Degens Market	astar-degens-market	https://astar.network/	astar.network	brand_marketplace	collectibles	astar	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000436	Astar NFT Marketplace	astar-nft-marketplace	https://astar.network/	astar.network	chain_specific	collectibles	astar	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000437	TofuNFT Astar	tofunft-astar	https://tofunft.com/	tofunft.com	chain_specific	general	astar	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000438	Sonova Marketplace	sonova-marketplace	https://sonova.one/	sonova.one	standalone_marketplace	chain_specific	astar	P2	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000439	Yoki Origins Market	yoki-origins-market	https://yoki.astar.network/	yoki.astar.network	brand_marketplace	collectibles	astar	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000440	Murasaki Marketplace	murasaki-marketplace	https://murasaki.community/	murasaki.community	brand_marketplace	gaming	astar	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000441	Oasys Marketplace	oasys-marketplace	https://www.oasys.games/	oasys.games	chain_specific	gaming	oasys	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000442	Oasys HOME Verse Market	home-verse-market	https://www.homeverse.games/	homeverse.games	chain_specific	gaming	oasys	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000443	Oasys VersePort Market	verseport-market	https://verseport.world/	verseport.world	chain_specific	gaming	oasys	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000444	DMM Crypto Market	dmm-crypto-market	https://web3.dmm.com/	web3.dmm.com	brand_marketplace	gaming	oasys	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000445	Sega NFT Market	sega-nft-market	https://www.sega.co.jp/	sega.co.jp	brand_marketplace	gaming	oasys	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000446	Square Enix Symbiogenesis Market	symbiogenesis-market	https://symbiogenesis.app/	symbiogenesis.app	brand_marketplace	gaming	polygon	P2	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
