candidate_id	name	slug	official_url	domain	candidate_scope	category	chain_scope	priority	status	status_guess	checked_against	duplicate_result	needs_full_data_file_scan	batch	marketplace_id	event_id	evidence_ids	consumed_at	notes
mag_candidate_000821	NFTEarth Market	nftearth-market	https://nftearth.exchange/	nftearth.exchange	standalone_marketplace	general	multi_chain	P2	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000822	Zonic Base	zonic-base	https://zonic.app/	zonic.app	chain_specific	general	base	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000823	Zonic Optimism	zonic-optimism	https://zonic.app/	zonic.app	chain_specific	general	optimism	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000824	Zonic Arbitrum	zonic-arbitrum	https://zonic.app/	zonic.app	chain_specific	general	arbitrum	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000825	Quix Optimism Legacy	quix-optimism-legacy	https://qx.app/	qx.app	standalone_marketplace	chain_specific	optimism	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000826	Stratos Base Market	stratos-base-market	https://stratosnft.io/	stratosnft.io	chain_specific	art_curated	base	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000827	Highlight Editions	highlight-editions	https://highlight.xyz/	highlight.xyz	creator_marketplace	creator_tools	multi_chain	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000828	Highlight Series Market	highlight-series-market	https://highlight.xyz/	highlight.xyz	creator_marketplace	creator_tools	multi_chain	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000829	Paragraph Creator Collectibles	paragraph-creator-collectibles	https://paragraph.xyz/	paragraph.xyz	creator_marketplace	music_media	base	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000830	Mirror Collect Editions	mirror-collect-editions	https://mirror.xyz/	mirror.xyz	creator_marketplace	music_media	ethereum,optimism	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000831	Airstack NFT Market	airstack-nft-market	https://www.airstack.xyz/	airstack.xyz	infrastructure_marketplace	general	multi_chain	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000832	Neynar Frame Mint Market	neynar-frame-mint-market	https://neynar.com/	neynar.com	infrastructure_marketplace	creator_tools	base,optimism	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000833	Hypersub Collectibles	hypersub-collectibles	https://hypersub.xyz/	hypersub.xyz	creator_marketplace	creator_tools	base	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000834	Pods Media Collectibles	pods-media-collectibles	https://pods.media/	pods.media	creator_marketplace	music_media	base	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000835	Fabric Collectibles	fabric-collectibles	https://fabric.xyz/	fabric.xyz	creator_marketplace	creator_tools	ethereum	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000836	Syndicate Collectibles	syndicate-collectibles	https://syndicate.io/	syndicate.io	protocol_marketplace	collectibles	ethereum	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
